These results were obtained with 100 generations of 200 individuals and 0.1 mutation

Generation 17 Bot 10, score = 8646
Generation 17 Bot 20, score = 7260
Generation 17 Bot 30, score = 10931
Generation 17 Bot 40, score = 15400
Generation 17 Bot 50, score = 13730
Generation 17 Bot 60, score = 25978
Generation 17 Bot 70, score = 15600
Generation 17 Bot 80, score = 14806
Generation 17 Bot 90, score = 4286
Generation 17 Bot 100, score = 13530
Generation 17 Bot 110, score = 5253
Generation 17 Bot 120, score = 8878
Generation 17 Bot 130, score = 13366
Generation 17 Bot 140, score = 6095
Generation 17 Bot 150, score = 17778
Generation 17 Bot 160, score = 17791
Generation 17 Bot 170, score = 18728
Generation 17 Bot 180, score = 12603
Generation 17 Bot 190, score = 6441
Generation 18 Bot 0, score = 9416
Generation 18 Bot 10, score = 15525
Generation 18 Bot 20, score = 8778
Generation 18 Bot 30, score = 15251
Generation 18 Bot 40, score = 9553
Generation 18 Bot 50, score = 12661
Generation 18 Bot 60, score = 5253
Generation 18 Bot 70, score = 4950
Generation 18 Bot 80, score = 10685
Generation 18 Bot 90, score = 19210
Generation 18 Bot 100, score = 3321
Generation 18 Bot 110, score = 20200
Generation 18 Bot 120, score = 4853
Generation 18 Bot 130, score = 5151
Generation 18 Bot 140, score = 22555
Generation 18 Bot 150, score = 9516
Generation 18 Bot 160, score = 24053
Generation 18 Bot 170, score = 14735
Generation 18 Bot 180, score = 18636
Generation 18 Bot 190, score = 8128
Generation 19 Bot 0, score = 46356
Generation 19 Bot 10, score = 20503
Generation 19 Bot 20, score = 19115
Generation 19 Bot 30, score = 20000
Generation 19 Bot 40, score = 14195
Generation 19 Bot 50, score = 17766
Generation 19 Bot 60, score = 5050
Generation 19 Bot 70, score = 18066
Generation 19 Bot 80, score = 33970
Generation 19 Bot 90, score = 27930
Generation 19 Bot 100, score = 27261
Generation 19 Bot 110, score = 23853
Generation 19 Bot 120, score = 10640
Generation 19 Bot 130, score = 4465
Generation 19 Bot 140, score = 38626
Generation 19 Bot 150, score = 27561
Generation 19 Bot 160, score = 8515
Generation 19 Bot 170, score = 13466
Generation 19 Bot 180, score = 5986
Generation 19 Bot 190, score = 10311
Generation 20 Bot 0, score = 10153
Generation 20 Bot 10, score = 6786
Generation 20 Bot 20, score = 6105
Generation 20 Bot 30, score = 23220
Generation 20 Bot 40, score = 8515
Generation 20 Bot 50, score = 29020
Generation 20 Bot 60, score = 5253
Generation 20 Bot 70, score = 9480
Generation 20 Bot 80, score = 11126
Generation 20 Bot 90, score = 17878
Generation 20 Bot 100, score = 10553
Generation 20 Bot 110, score = 12090
Generation 20 Bot 120, score = 7581
Generation 20 Bot 130, score = 34753
Generation 20 Bot 140, score = 28980
Generation 20 Bot 150, score = 10978
Generation 20 Bot 160, score = 32075
Generation 20 Bot 170, score = 17966
Generation 20 Bot 180, score = 9345
Generation 20 Bot 190, score = 44160
Generation 21 Bot 0, score = 17678
Generation 21 Bot 10, score = 7481
Generation 21 Bot 20, score = 31475
Generation 21 Bot 30, score = 8778
Generation 21 Bot 40, score = 10685
Generation 21 Bot 50, score = 4005
Generation 21 Bot 60, score = 12861
Generation 21 Bot 70, score = 7240
Generation 21 Bot 80, score = 7481
Generation 21 Bot 90, score = 6670
Generation 21 Bot 100, score = 8878
Generation 21 Bot 110, score = 12190
Generation 21 Bot 120, score = 8001
Generation 21 Bot 130, score = 9316
Generation 21 Bot 140, score = 31125
Generation 21 Bot 150, score = 6328
Generation 21 Bot 160, score = 4851
Generation 21 Bot 170, score = 11326
Generation 21 Bot 180, score = 10253
Generation 21 Bot 190, score = 4656
Generation 22 Bot 0, score = 6986
Generation 22 Bot 10, score = 16410
Generation 22 Bot 20, score = 13961
Generation 22 Bot 30, score = 11828
Generation 22 Bot 40, score = 26635
Generation 22 Bot 50, score = 10731
Generation 22 Bot 60, score = 8256
Generation 22 Bot 70, score = 13241
Generation 22 Bot 80, score = 29220
Generation 22 Bot 90, score = 23320
Generation 22 Bot 100, score = 4856
Generation 22 Bot 110, score = 4656
Generation 22 Bot 120, score = 23220
Generation 22 Bot 130, score = 35511
Generation 22 Bot 140, score = 8001
Generation 22 Bot 150, score = 9791
Generation 22 Bot 160, score = 44156
Generation 22 Bot 170, score = 22345
Generation 22 Bot 180, score = 4560
Generation 22 Bot 190, score = 13666
Generation 23 Bot 0, score = 2850
Generation 23 Bot 10, score = 7260
Generation 23 Bot 20, score = 2628
Generation 23 Bot 30, score = 11278
Generation 23 Bot 40, score = 63490
Generation 23 Bot 50, score = 10685
Generation 23 Bot 60, score = 13730
Generation 23 Bot 70, score = 9791
Generation 23 Bot 80, score = 13366
Generation 23 Bot 90, score = 21010
Generation 23 Bot 100, score = 7481
Generation 23 Bot 110, score = 20200
Generation 23 Bot 120, score = 6095
Generation 23 Bot 130, score = 14365
Generation 23 Bot 140, score = 13466
Generation 23 Bot 150, score = 27830
Generation 23 Bot 160, score = 9930
Generation 23 Bot 170, score = 11175
Generation 23 Bot 180, score = 13861
Generation 23 Bot 190, score = 3421
Generation 24 Bot 0, score = 11981
Generation 24 Bot 10, score = 21936
Generation 24 Bot 20, score = 9970
Generation 24 Bot 30, score = 5250
Generation 24 Bot 40, score = 36415
Generation 24 Bot 50, score = 17391
Generation 24 Bot 60, score = 20701
Generation 24 Bot 70, score = 28703
Generation 24 Bot 80, score = 19215
Generation 24 Bot 90, score = 3486
Generation 24 Bot 100, score = 5460
Generation 24 Bot 110, score = 7360
Generation 24 Bot 120, score = 24290
Generation 24 Bot 130, score = 4950
Generation 24 Bot 140, score = 32078
Generation 24 Bot 150, score = 19506
Generation 24 Bot 160, score = 54485
Generation 24 Bot 170, score = 8356
Generation 24 Bot 180, score = 10153
Generation 24 Bot 190, score = 5556
Generation 25 Bot 0, score = 6205
Generation 25 Bot 10, score = 22678
Generation 25 Bot 20, score = 27930
